,index,cost,year(s),num_variable
0,Ontop-PostgreSQL,0.24231979999999997,1,1
1,Apache Jena Fuseki,0.37591080000000004,1,1
2,GraphDB,1.4292766000000001,1,1
3,Ontop-PostgreSQL,0.24511740000000004,2,1
4,Apache Jena Fuseki,0.3645508,2,1
5,GraphDB,1.3968627999999998,2,1
6,Ontop-PostgreSQL,0.23546460000000002,3,1
7,Apache Jena Fuseki,0.3580312,3,1
8,GraphDB,1.3182826,3,1
9,Ontop-PostgreSQL,0.247559,4,1
10,Apache Jena Fuseki,0.355704,4,1
11,GraphDB,1.3783812000000002,4,1
12,Ontop-PostgreSQL,0.24057079999999997,5,1
13,Apache Jena Fuseki,0.3536722,5,1
14,GraphDB,1.3762158,5,1
15,Ontop-PostgreSQL,0.23744679999999999,6,1
16,Apache Jena Fuseki,0.35742959999999996,6,1
17,GraphDB,1.3564392,6,1
18,Ontop-PostgreSQL,0.23081800000000002,7,1
19,Apache Jena Fuseki,0.3538686,7,1
20,GraphDB,1.4097929999999999,7,1
21,Ontop-PostgreSQL,0.23344399999999998,8,1
22,Apache Jena Fuseki,0.3547894,8,1
23,GraphDB,1.3732563999999998,8,1
24,Ontop-PostgreSQL,0.2279112,9,1
25,Apache Jena Fuseki,0.3563676,9,1
26,GraphDB,1.4246458000000002,9,1
27,Ontop-PostgreSQL,0.2429096,10,1
28,Apache Jena Fuseki,0.3671474,10,1
29,GraphDB,1.6386980000000002,10,1
