sensor_index,date_created,name,location_type,latitude,longitude,altitude,country
148049,1653795311,Aer Bheanntraí / Bantry Air,0,51.676346,-9.449699,146,IE
151134,1656326518,na hAille,0,53.24555,-9.382644,97,IE
24947,1547665391,Julianstown,1,53.671402,-6.284516,31,IE
26695,1550166213,Phibsborough,0,53.360863,-6.273795,94,IE
34809,1563381255,CCC unit 1,0,51.87866,-8.465065,39,IE
34823,1563381307,CCC unit 7,0,51.93309,-8.567492,106,IE
36447,1564681052,CCC demonstration unit,0,53.349804,-6.26031,16,IE
36855,1565279933,Ballinlough,0,51.88937,-8.449081,85,IE
36921,1565285784,CCC unit 8,0,51.89506,-8.50915,25,IE
36925,1565285793,CCC unit 3,0,51.896343,-8.494267,15,IE
36929,1565285835,UCC North Mall Campus,0,53.682587,-9.23925,59,IE
36931,1565285846,UCC Distillery Fields Campus,0,51.90008,-8.486238,13,IE
36933,1565285857,CCC unit 10,0,51.877205,-8.435922,16,IE
36949,1565285888,CCC unit 6,0,51.9049,-8.504252,383,IE
36951,1565285900,Blackrock Castle,0,51.90036,-8.402448,13,IE
36955,1565285990,CCC unit 4,0,51.910965,-8.44424,329,IE
36963,1565287623,CCC unit 5,0,51.88437,-8.476724,99,IE
36967,1565287632,CCC unit 11,0,51.897076,-8.469652,12,IE
36969,1565287635,CCC unit 9,0,51.88999,-8.454975,73,IE
36971,1565287638,CCC unit 2,0,51.89995,-8.402453,23,IE
36973,1565287645,CCC unit 13,0,51.914047,-8.42878,275,IE
38731,1567105964,Julianstown outdoor,0,53.67158,-6.284676,36,IE
40135,1571257536,Ringaskiddy,0,51.8301,-8.321051,16,IE
40153,1571257728,UCC Distillery Fields Campus,0,51.900105,-8.486341,12,IE
40167,1571265344,CCC unit 1,0,51.878647,-8.465019,41,IE
40177,1571329442,UCC North Mall Campus,0,51.900112,-8.486329,13,IE
40193,1571352632,Oaklands Community College,0,53.33719,-7.062722,287,IE
40195,1571352636,CCC unit 13,0,51.914017,-8.428774,275,IE
40199,1571352666,CCC unit 12,0,51.918007,-8.399046,37,IE
40353,1571778629,"College Road, Cork",0,51.891403,-8.490189,97,IE
40367,1571778651,BANDON_WEST,0,51.741913,-8.749489,165,IE
40371,1571778689,CCC unit 8,0,51.895046,-8.508938,24,IE
40393,1571778746,CCC unit 1a,0,51.878517,-8.465011,43,IE
43197,1575576426,Cork Institute of Technology 2,0,51.883034,-8.533383,70,IE
43211,1575576758,Cork Institute of Technology 3,0,51.883038,-8.533292,70,IE
43489,1575937472,Haulbowline View,1,51.848473,-8.304646,85,IE
44963,1577479127,CCC unit 6,0,51.904453,-8.504641,377,IE
45285,1577816001,CCC unit 4,0,51.910965,-8.44424,329,IE
45287,1577816005,CCC unit 13,0,51.914078,-8.428778,275,IE
45289,1577816010,CCC unit 9,0,51.890038,-8.454952,72,IE
46097,1579039704,CCC unit 15,0,51.88757,-8.592347,87,IE
46227,1579118981,Lucia Place - Passage West,0,51.86757,-8.332075,33,IE
46263,1579138496,CCC unit 16,0,51.89916,-8.480103,16,IE
46277,1579143342,CCC unit 14,0,51.909363,-8.473575,32,IE
47087,1580154110,Hartley,0,53.968033,-8.089806,176,IE
47349,1580336672,Townparks Carrick on Shannon,0,53.951084,-8.095085,169,IE
48333,1581535475,"17-79 Rathmines Road Lower, Dublin 6",0,53.3294,-6.264591,66,IE
59111,1594065589,Churchtown Dublin 14,0,53.301456,-6.258461,140,IE
59397,1594409424,Testing,1,52.00305,-8.910691,771,IE
82985,1603127885,CCAPS4,1,53.425945,-9.33967,96,IE
83321,1603137813,Seapoint Ballroom,0,53.259796,-9.075714,19,IE
83969,1603228998,Yard,0,53.655067,-7.010231,286,IE
84191,1603318554,Elm Park Road,0,53.286858,-9.073714,53,IE
86447,1603914689,Enda's Rd,0,53.273045,-9.064636,39,IE
87837,1604343977,I3,1,53.42666,-9.333319,57,IE
87845,1604344047,I1,1,53.426327,-9.340529,99,IE
88407,1604508590,I2,1,53.426098,-9.340357,96,IE
91889,1606157636,Howth,0,53.381096,-6.06105,262,IE
92743,1607108939,CCC unit 7,0,51.93309,-8.567492,106,IE
92749,1607108963,St. Mary's NS,0,53.338783,-7.059603,253,IE
92763,1607109043,CCC unit 6,0,51.904453,-8.504641,377,IE
92817,1607111160,St. Mary's Secondary School,0,53.34019,-7.059866,242,IE
92865,1607113009,CCC unit 14,0,51.909363,-8.473575,32,IE
92871,1607113029,UCC Sensor,0,53.337425,-7.053808,255,IE
95063,1608156444,Kilsallaghan,0,53.479267,-6.299649,192,IE
95701,1608583666,"Ballymoneen Road, Knocknacarra, Galway, IRELAND",0,53.26217,-9.11962,55,IE
96777,1609276535,Monkstown,0,51.848705,-8.335105,96,IE
100163,1614010343,"Rahoon, Galway",1,53.2783,-9.092286,109,IE
100259,1614118503,Newcastle Road,1,53.281845,-9.068922,50,IE
103234,1617380678,Bantry Air,0,51.675533,-9.448558,163,IE
105508,1619813360,Sandymount,0,53.33499,-6.216279,17,IE
111912,1625169722,"Foxborough, Lucan",0,53.339638,-6.424996,190,IE
